REF_DATE,Origin,DGUID,Destination,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"Prince Edward Island, province of destination",Persons,249,units ,0,v466446,1.2,172,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"Nova Scotia, province of destination",Persons,249,units ,0,v466451,1.3,1999,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"New Brunswick, province of destination",Persons,249,units ,0,v466452,1.4,1026,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"Quebec, province of destination",Persons,249,units ,0,v466453,1.5,1204,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"Ontario, province of destination",Persons,249,units ,0,v466454,1.6,6541,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"Manitoba, province of destination",Persons,249,units ,0,v466455,1.7,350,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"Saskatchewan, province of destination",Persons,249,units ,0,v466456,1.8,118,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"Alberta, province of destination",Persons,249,units ,0,v466457,1.9,353,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"British Columbia, province of destination",Persons,249,units ,0,v466458,1.1,605,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"Yukon, province of destination",Persons,249,units ,0,v466447,1.11,91,,,,0
1972/1973,"Newfoundland and Labrador, province of origin",2016A000210,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466448,1.12,140,,,t,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466564,2.1,155,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"Nova Scotia, province of destination",Persons,249,units ,0,v466569,2.3,885,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"New Brunswick, province of destination",Persons,249,units ,0,v466570,2.4,405,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"Quebec, province of destination",Persons,249,units ,0,v466571,2.5,129,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"Ontario, province of destination",Persons,249,units ,0,v466572,2.6,1437,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"Manitoba, province of destination",Persons,249,units ,0,v466573,2.7,137,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"Saskatchewan, province of destination",Persons,249,units ,0,v466574,2.8,27,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"Alberta, province of destination",Persons,249,units ,0,v466575,2.9,206,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"British Columbia, province of destination",Persons,249,units ,0,v466576,2.1,143,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"Yukon, province of destination",Persons,249,units ,0,v466565,2.11,8,,,,0
1972/1973,"Prince Edward Island, province of origin",2016A000211,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466566,2.12,13,,,t,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466577,3.1,1545,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"Prince Edward Island, province of destination",Persons,249,units ,0,v466582,3.2,912,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"New Brunswick, province of destination",Persons,249,units ,0,v466583,3.4,3751,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"Quebec, province of destination",Persons,249,units ,0,v466584,3.5,1554,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"Ontario, province of destination",Persons,249,units ,0,v466585,3.6,8675,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"Manitoba, province of destination",Persons,249,units ,0,v466586,3.7,627,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"Saskatchewan, province of destination",Persons,249,units ,0,v466587,3.8,168,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"Alberta, province of destination",Persons,249,units ,0,v466588,3.9,1295,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"British Columbia, province of destination",Persons,249,units ,0,v466589,3.1,1749,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"Yukon, province of destination",Persons,249,units ,0,v466578,3.11,37,,,,0
1972/1973,"Nova Scotia, province of origin",2016A000212,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466579,3.12,61,,,t,0
1972/1973,"New Brunswick, province of origin",2016A000213,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466590,4.1,1002,,,,0
1972/1973,"New Brunswick, province of origin",2016A000213,"Prince Edward Island, province of destination",Persons,249,units ,0,v466595,4.2,738,,,,0
1972/1973,"New Brunswick, province of origin",2016A000213,"Nova Scotia, province of destination",Persons,249,units ,0,v466596,4.3,3947,,,,0
1972/1973,"New Brunswick, province of origin",2016A000213,"Quebec, province of destination",Persons,249,units ,0,v466597,4.5,3415,,,,0
